config_id,model_name,batch_size,epochs,learning_rate,warm_up,dropout,training_time,peak_memory,test_mse,test_mae,test_rmse,test_pearson,use_reference
24,indobenchmark/indobert-lite-base-p2,4,26,0.0005,0.0,0.5,1112.4310262203217,412.6806640625,0.017834841467750568,0.10659487,0.13399036,0.8623657708097568,True
25,indobenchmark/indobert-lite-base-p2,4,49,0.001,0.0,0.5,2005.3148999214172,412.6806640625,0.022875656432006508,0.11743112,0.15183088,0.8418685145677596,True
26,indobenchmark/indobert-lite-base-p2,4,40,0.002,0.0,0.5,1637.088508605957,412.6806640625,0.035716443920197585,0.14948083,0.18950768,0.7071351791183684,True
27,indobenchmark/indobert-lite-base-p2,4,27,0.005,0.0,0.5,1129.1184377670288,412.6806640625,0.11067631274151306,0.26941186,0.33224878,0.6070287565997791,True
28,indobenchmark/indobert-lite-base-p2,8,27,0.0005,0.0,0.5,1027.959089756012,412.6806640625,0.015595030357750754,0.100977294,0.12516111,0.8760798369289147,True
29,indobenchmark/indobert-lite-base-p2,8,23,0.001,0.0,0.5,875.928302526474,412.6806640625,0.016734336068232856,0.102097265,0.12941054,0.8649532139194328,True
30,indobenchmark/indobert-lite-base-p2,8,22,0.002,0.0,0.5,838.9634923934937,412.6806640625,0.024163878181328376,0.12741657,0.15598503,0.7973868245179266,True
31,indobenchmark/indobert-lite-base-p2,8,30,0.005,0.0,0.5,1141.0926609039307,412.6806640625,0.06303219106048345,0.2062166,0.25192648,0.6312355977627737,True
32,indobenchmark/indobert-lite-base-p2,16,47,0.0005,0.0,0.5,1719.6802706718445,412.6806640625,0.015385082798699538,0.10025371,0.124211036,0.8774151375712927,True
33,indobenchmark/indobert-lite-base-p2,16,40,0.001,0.0,0.5,1504.8553087711334,412.6806640625,0.01574384601165851,0.101072386,0.12565817,0.8726469187057952,True
34,indobenchmark/indobert-lite-base-p2,16,34,0.002,0.0,0.5,1259.5353140830994,412.6806640625,0.02180807056526343,0.11797507,0.1476908,0.8334515825586215,True
35,indobenchmark/indobert-lite-base-p2,16,87,0.005,0.0,0.5,3304.7289583683014,412.6806640625,0.021954613799850146,0.11943455,0.14845484,0.8191399581395148,True
