config_id,model_name,batch_size,epochs,learning_rate,warm_up,training_time,peak_memory,test_mse,test_mae,test_rmse,test_pearson,use_reference
16,indobenchmark/indobert-lite-base-p2,8,49,1e-05,0.3,5094.395850896835,4914.70361328125,0.01394138381195565,0.08862404,0.11842335,0.8898905242544622,False
17,indobenchmark/indobert-lite-base-p2,8,18,2e-05,0.3,1875.343175649643,4914.70361328125,0.012239280991101017,0.087714605,0.110764,0.9029647827570246,False
18,indobenchmark/indobert-lite-base-p2,8,26,5e-05,0.3,2726.239891052246,4914.70361328125,0.012076409913909932,0.08282564,0.11003097,0.9078805259509212,False
19,indobenchmark/indobert-lite-base-p2,8,23,0.0001,0.3,2458.6798939704895,4914.70361328125,0.011052999364134545,0.07763209,0.10553851,0.9135555061248477,False
20,indobenchmark/indobert-lite-base-p2,16,52,1e-05,0.3,5161.238976478577,4914.70361328125,0.011239158486326535,0.08055345,0.10620002,0.9108508292434654,False
21,indobenchmark/indobert-lite-base-p2,16,27,2e-05,0.3,2639.727845430374,4914.70361328125,0.012751153701295455,0.08790214,0.11317379,0.898768330980747,False
22,indobenchmark/indobert-lite-base-p2,16,40,5e-05,0.3,3935.6882350444794,4914.70361328125,0.013125114313637217,0.081566,0.11496517,0.8965122548987136,False
23,indobenchmark/indobert-lite-base-p2,16,31,0.0001,0.3,3012.932454109192,4914.70361328125,0.0120731048596402,0.08293187,0.11011263,0.9050725432630055,False
24,indobenchmark/indobert-lite-base-p2,4,13,1e-05,0.0,1548.0706958770752,4914.70361328125,0.0076370366533713725,0.0645216,0.087668076,0.9409345320745083,True
25,indobenchmark/indobert-lite-base-p2,4,17,2e-05,0.0,2043.5403046607971,4914.70361328125,0.00649857737395602,0.061119236,0.08089784,0.9494997584418734,True
26,indobenchmark/indobert-lite-base-p2,4,18,5e-05,0.0,2129.5598475933075,4914.70361328125,0.010643497096801487,0.07756828,0.103514865,0.9156565628347952,True
27,indobenchmark/indobert-lite-base-p2,4,11,0.0001,0.0,1328.7398371696472,4914.70361328125,0.02185963801263521,0.1123292,0.14844547,0.8613505148848234,True
28,indobenchmark/indobert-lite-base-p2,8,20,1e-05,0.0,2157.2796065807343,4914.70361328125,0.007835820045632621,0.06638259,0.08877712,0.9387989219860982,True
29,indobenchmark/indobert-lite-base-p2,8,27,2e-05,0.0,2835.9660856723785,4914.70361328125,0.0069073746756960945,0.061633397,0.08329986,0.9460683517606167,True
30,indobenchmark/indobert-lite-base-p2,8,12,5e-05,0.0,1262.7028625011444,4914.70361328125,0.007668736452857653,0.06681845,0.08778455,0.9412360958296461,True
31,indobenchmark/indobert-lite-base-p2,8,14,0.0001,0.0,1532.4460723400116,4914.70361328125,0.008989675925113261,0.0715195,0.09489339,0.9324953710523898,True
32,indobenchmark/indobert-lite-base-p2,16,41,1e-05,0.0,4086.5928933620453,4914.70361328125,0.007056863435233633,0.0622931,0.084166236,0.9455620937907282,True
33,indobenchmark/indobert-lite-base-p2,16,14,2e-05,0.0,1450.002402305603,4914.70361328125,0.006396111908058325,0.059943244,0.08014783,0.9509963956957198,True
34,indobenchmark/indobert-lite-base-p2,16,34,5e-05,0.0,3383.5946197509766,4914.70361328125,0.007215354265645147,0.061214566,0.08516422,0.9440207310453991,True
35,indobenchmark/indobert-lite-base-p2,16,13,0.0001,0.0,1285.7676391601562,4914.70361328125,0.007677314601217707,0.066602506,0.087815166,0.9400973557693566,True
36,indobenchmark/indobert-lite-base-p2,4,27,1e-05,0.3,3104.5486664772034,4914.70361328125,0.0077619764759826165,0.06490876,0.08841023,0.9395119946118091,True
37,indobenchmark/indobert-lite-base-p2,4,22,2e-05,0.3,2529.655288219452,4914.70361328125,0.008148199068576409,0.0678253,0.09046429,0.938128967765772,True
38,indobenchmark/indobert-lite-base-p2,4,22,5e-05,0.3,2529.505471229553,4914.70361328125,0.007530382141218676,0.06651537,0.087012805,0.9410046256250952,True
39,indobenchmark/indobert-lite-base-p2,4,17,0.0001,0.3,1954.2250666618347,4914.70361328125,0.006853763703838922,0.062333796,0.08313361,0.9469422983127043,True
40,indobenchmark/indobert-lite-base-p2,8,20,1e-05,0.3,2115.393884420395,4914.70361328125,0.008837886635834973,0.07068829,0.0941548,0.9309609157198293,True
41,indobenchmark/indobert-lite-base-p2,8,20,2e-05,0.3,2113.777004003525,4914.70361328125,0.007898935966659337,0.065331906,0.08908728,0.9383682336033534,True
42,indobenchmark/indobert-lite-base-p2,8,16,5e-05,0.3,1692.7845091819763,4914.70361328125,0.007802044196675221,0.06636941,0.088438146,0.9403652686211074,True
43,indobenchmark/indobert-lite-base-p2,8,22,0.0001,0.3,2324.082183122635,4914.70361328125,0.007833624406096836,0.06593152,0.088534564,0.9390860178854864,True
44,indobenchmark/indobert-lite-base-p2,16,22,1e-05,0.3,2171.460683107376,4914.70361328125,0.008652059578647215,0.06926836,0.09318787,0.9321318007954955,True
45,indobenchmark/indobert-lite-base-p2,16,20,2e-05,0.3,1974.0566670894623,4914.70361328125,0.007747176010161639,0.06377957,0.08823792,0.9398247189037715,True
46,indobenchmark/indobert-lite-base-p2,16,30,5e-05,0.3,2963.8266546726227,4914.70361328125,0.007365980589141449,0.06254294,0.08602981,0.9424682836733868,True
47,indobenchmark/indobert-lite-base-p2,16,27,0.0001,0.3,2656.0582842826843,4914.70361328125,0.006979408503199617,0.061954226,0.08374761,0.945612797782419,True
